enterprise_id,gst_score,upi_score,aa_score,epfo_score,overall_score,risk_tier,confidence,actual_default
MSME100000,56.0,69.9,,,61.8,B - Moderate,2/4,0
MSME100001,75.9,85.0,73.9,,77.8,A - Strong,3/4,0
MSME100002,69.8,72.3,,,70.8,B - Moderate,2/4,0
MSME100003,41.0,59.6,,,48.8,C - Weak,2/4,0
MSME100004,,54.6,58.8,,56.9,B - Moderate,2/4,0
MSME100005,85.7,78.7,88.2,92.2,85.3,A - Strong,4/4,1
MSME100006,76.9,78.0,,47.7,73.1,B - Moderate,3/4,0
MSME100007,,64.7,72.5,85.5,71.5,B - Moderate,3/4,0
MSME100008,41.3,42.5,44.7,,42.8,C - Weak,3/4,0
MSME100009,,66.3,51.3,,58.1,B - Moderate,2/4,0
MSME100010,58.3,44.9,,,52.7,C - Weak,2/4,0
MSME100011,84.1,,92.6,,88.0,A - Strong,2/4,0
MSME100012,67.8,70.6,,,69.0,B - Moderate,2/4,0
MSME100013,,68.6,75.0,73.6,72.3,B - Moderate,3/4,0
MSME100014,,62.6,69.2,,66.2,B - Moderate,2/4,0
MSME100015,45.3,53.1,,,48.5,C - Weak,2/4,0
MSME100016,,58.9,61.1,51.7,58.8,B - Moderate,3/4,0
MSME100017,,42.9,,,42.9,C - Weak,1/4,0
MSME100018,,86.2,,88.6,86.9,A - Strong,2/4,0
MSME100019,40.6,54.0,,,46.2,C - Weak,2/4,0
MSME100020,52.2,,,,52.2,C - Weak,1/4,0
MSME100021,46.8,38.9,,,43.5,C - Weak,2/4,0
MSME100022,89.5,92.8,85.2,93.1,89.4,A - Strong,4/4,0
MSME100023,72.5,,80.6,,76.2,A - Strong,2/4,0
MSME100024,,70.3,66.9,,68.4,B - Moderate,2/4,0
MSME100025,,23.8,,22.0,23.3,D - High Risk,2/4,1
MSME100026,,49.0,,,49.0,C - Weak,1/4,0
MSME100027,,31.7,,,31.7,D - High Risk,1/4,1
MSME100028,90.4,92.6,,,91.3,A - Strong,2/4,0
MSME100029,88.8,88.7,,88.9,88.8,A - Strong,3/4,0
MSME100030,88.8,84.0,82.2,79.3,84.7,A - Strong,4/4,0
MSME100031,75.5,73.7,72.4,,74.0,B - Moderate,3/4,0
MSME100032,,22.9,,,22.9,D - High Risk,1/4,1
MSME100033,,79.5,,,79.5,A - Strong,1/4,0
MSME100034,36.1,27.0,,,32.3,D - High Risk,2/4,0
MSME100035,63.8,74.8,,,68.4,B - Moderate,2/4,0
MSME100036,47.4,51.6,38.1,,45.5,C - Weak,3/4,0
MSME100037,31.9,,27.1,,29.7,D - High Risk,2/4,0
MSME100038,39.2,32.0,,36.6,36.3,C - Weak,3/4,0
MSME100039,,,52.5,,52.5,C - Weak,1/4,0
