enterprise_id,segment,sector,years_in_operation,is_ntc,is_ntb,gst_registered,gst_filing_consistency_pct,gst_turnover_growth_rate,gst_avg_monthly_turnover_inr,gst_late_filing_count_12m,upi_available,upi_monthly_txn_count,upi_avg_inflow_inr,upi_inflow_volatility,upi_bounce_rate_pct,aa_consent_given,aa_avg_bank_balance_inr,aa_trade_payable_days,aa_cash_flow_ratio,aa_emi_to_inflow_ratio,aa_overdraft_utilization_pct,epfo_registered,epfo_employee_count,epfo_contribution_consistency_pct,epfo_avg_wage_inr,epfo_employee_growth_rate,default_flag,gst_score,upi_score,aa_score,epfo_score,overall_health_score,risk_tier
MSME100000,Small,Services,4.5,0,0,1,29.8,11.35,334400.0,2.0,1,63.0,193000.0,0.532,5.86,0,,,,,,0,,,,,0,43.8,47.9,,,45.7,Moderate Risk
MSME100001,Micro,Manufacturing,2.9,0,0,1,64.6,18.69,48800.0,4.0,1,13.0,35400.0,0.417,5.82,1,12500.0,57.0,0.84,0.388,23.9,0,,,,,0,58.4,50.0,58.7,,56.0,Moderate Risk
MSME100002,Small,Trading/Retail,8.3,0,0,1,36.5,3.51,328900.0,3.0,1,96.0,195900.0,0.492,16.4,0,,,,,,0,,,,,0,42.3,40.2,,,41.3,Moderate Risk
MSME100003,Small,IT/ITES,4.7,1,0,1,12.9,12.65,239700.0,5.0,1,65.0,134100.0,0.645,9.97,0,,,,,,0,,,,,0,28.2,41.4,,,34.2,High Risk
MSME100004,Micro,Trading/Retail,4.3,1,1,0,,,,,1,16.0,19200.0,0.405,8.83,1,10900.0,66.8,0.56,0.411,50.0,0,,,,,0,,47.7,49.0,,48.4,Moderate Risk
MSME100005,Medium,Trading/Retail,13.8,0,0,1,77.0,10.4,2828000.0,0.0,1,914.0,1685700.0,0.144,11.23,1,1738700.0,38.6,0.93,0.22,24.1,1,96.0,76.3,21100.0,-13.03,1,72.1,68.0,67.0,48.7,66.0,Low Risk
MSME100006,Small,Trading/Retail,0.9,1,0,1,74.1,6.59,220500.0,1.0,1,55.0,170600.0,0.24,10.91,0,,,,,,1,22.0,36.5,17100.0,-0.3,0,67.0,50.7,,33.2,53.9,Moderate Risk
MSME100007,Small,Agriculture & Allied,7.1,0,0,0,,,,,1,12.0,38300.0,0.157,8.75,1,22400.0,41.8,0.93,0.14,43.6,1,28.0,77.1,14800.0,0.56,0,,54.0,64.7,53.0,58.4,Moderate Risk
MSME100008,Micro,Construction,3.0,1,1,1,26.5,5.37,32300.0,6.0,1,4.0,18400.0,0.382,15.1,1,10300.0,88.6,0.42,0.492,55.4,0,,,,,0,30.4,42.6,41.0,,37.7,High Risk
MSME100009,Micro,Services,5.4,0,0,0,,,,,1,14.0,32200.0,0.364,11.02,1,9900.0,71.9,0.26,0.448,67.8,0,,,,,0,,46.8,41.4,,43.9,Moderate Risk
MSME100010,Micro,IT/ITES,2.5,0,1,1,40.2,-2.38,30700.0,7.0,1,7.0,18600.0,0.541,13.11,0,,,,,,0,,,,,0,32.4,40.3,,,36.0,High Risk
MSME100011,Medium,Trading/Retail,4.7,0,0,1,93.6,12.32,2559800.0,3.0,0,,,,,1,1452300.0,35.5,1.98,0.116,22.8,0,,,,,0,73.5,,78.5,,76.0,Low Risk
MSME100012,Small,Agriculture & Allied,23.3,0,0,1,67.9,-9.43,293500.0,1.0,1,93.0,144200.0,0.358,0.0,0,,,,,,0,,,,,0,59.1,58.0,,,58.6,Moderate Risk
MSME100013,Small,Trading/Retail,9.4,0,1,0,,,,,1,10.0,30400.0,0.273,8.28,1,26200.0,56.2,0.89,0.448,36.0,1,28.0,36.0,16400.0,13.77,0,,51.4,55.1,39.1,50.4,Moderate Risk
MSME100014,Micro,Manufacturing,8.3,0,1,0,,,,,1,11.0,27700.0,0.288,12.18,1,16600.0,69.2,0.59,0.313,41.1,0,,,,,0,,47.6,53.3,,50.7,Moderate Risk
MSME100015,Micro,Trading/Retail,5.6,0,1,1,28.9,-16.9,32900.0,4.0,1,7.0,15300.0,0.432,8.59,0,,,,,,0,,,,,0,29.9,47.0,,,37.7,High Risk
MSME100016,Micro,IT/ITES,5.2,1,0,0,,,,,1,15.0,37200.0,0.518,5.44,1,12700.0,70.4,0.87,0.414,47.9,1,6.0,25.7,14000.0,9.98,0,,47.8,51.1,31.3,45.7,Moderate Risk
MSME100017,Micro,Agriculture & Allied,5.8,1,0,0,,,,,1,10.0,26200.0,0.464,12.71,0,,,,,,0,,,,,0,,42.7,,,42.7,Moderate Risk
MSME100018,Small,Services,7.7,0,0,0,,,,,1,19.0,42400.0,0.318,2.13,0,,,,,,1,25.0,88.4,18300.0,2.63,0,,55.8,,60.9,57.7,Moderate Risk
MSME100019,Small,Trading/Retail,9.5,0,1,1,5.4,-10.36,183500.0,6.0,1,28.0,93800.0,0.464,12.69,0,,,,,,0,,,,,0,15.1,43.0,,,27.8,High Risk
MSME100020,Small,Manufacturing,18.6,0,1,1,20.4,-0.89,246700.0,6.0,0,,,,,0,,,,,,0,,,,,0,25.4,,,,25.4,High Risk
MSME100021,Micro,Services,4.5,0,1,1,29.9,7.13,29700.0,6.0,1,5.0,17300.0,0.627,14.18,0,,,,,,0,,,,,0,32.6,37.2,,,34.7,High Risk
MSME100022,Medium,Manufacturing,13.6,0,1,1,99.3,23.4,2557500.0,1.0,1,870.0,2005900.0,0.086,3.3,1,1562000.0,42.9,1.86,0.202,6.8,1,111.0,96.8,21500.0,13.55,0,84.7,75.6,77.2,71.4,78.2,Low Risk
MSME100023,Small,Trading/Retail,18.7,1,0,1,61.9,-2.68,348600.0,3.0,0,,,,,1,180200.0,62.2,1.26,0.257,31.2,0,,,,,0,53.1,,63.0,,58.0,Moderate Risk
MSME100024,Small,Food Processing,10.0,0,1,0,,,,,1,14.0,22800.0,0.405,7.09,1,24800.0,66.6,0.54,0.425,29.5,0,,,,,0,,49.2,52.6,,51.1,Moderate Risk
MSME100025,Micro,Food Processing,5.1,0,1,0,,,,,1,5.0,23400.0,0.729,15.03,0,,,,,,1,4.0,7.0,13800.0,6.5,1,,33.8,,20.3,28.7,High Risk
MSME100026,Micro,Agriculture & Allied,10.0,0,0,0,,,,,1,8.0,26900.0,0.204,14.38,0,,,,,,0,,,,,0,,47.8,,,47.8,Moderate Risk
MSME100027,Micro,Services,1.3,1,1,0,,,,,1,3.0,19300.0,0.562,12.11,0,,,,,,0,,,,,1,,40.6,,,40.6,Moderate Risk
MSME100028,Micro,Manufacturing,16.7,0,0,1,93.5,5.97,51400.0,2.0,1,11.0,34800.0,0.28,6.22,0,,,,,,0,,,,,0,74.0,53.1,,,64.5,Low Risk
MSME100029,Small,Services,10.6,0,0,1,86.0,1.71,285100.0,6.0,1,91.0,193000.0,0.241,9.02,0,,,,,,1,21.0,71.2,19700.0,-2.0,0,59.0,53.0,,50.7,55.1,Moderate Risk
MSME100030,Small,Trading/Retail,5.0,0,0,1,89.6,-0.01,372600.0,3.0,1,88.0,292000.0,0.232,11.66,1,168800.0,60.2,1.25,0.405,38.2,1,20.0,68.6,20200.0,-1.02,0,67.8,50.9,57.9,50.1,58.0,Moderate Risk
MSME100031,Medium,Food Processing,4.7,0,0,1,33.7,16.05,1295000.0,3.0,1,315.0,926600.0,0.505,10.75,1,282900.0,72.8,1.23,0.478,51.9,0,,,,,0,44.7,48.7,50.8,,48.0,Moderate Risk
MSME100032,Micro,Construction,1.6,1,1,0,,,,,1,5.0,18600.0,0.692,13.14,0,,,,,,0,,,,,1,,36.4,,,36.4,High Risk
MSME100033,Micro,Trading/Retail,11.8,0,0,0,,,,,1,19.0,40000.0,0.373,9.97,0,,,,,,0,,,,,0,,47.5,,,47.5,Moderate Risk
MSME100034,Micro,Manufacturing,4.8,1,1,1,12.2,-9.14,27400.0,3.0,1,5.0,12500.0,0.84,15.08,0,,,,,,0,,,,,0,26.4,31.0,,,28.5,High Risk
MSME100035,Micro,Textile,17.6,0,0,1,43.7,16.44,48200.0,1.0,1,13.0,27700.0,0.216,9.3,0,,,,,,0,,,,,0,54.8,52.0,,,53.5,Moderate Risk
MSME100036,Micro,Services,1.3,1,1,1,19.6,17.77,44700.0,7.0,1,7.0,26500.0,0.669,13.11,1,15200.0,86.0,0.02,0.485,59.3,0,,,,,0,28.1,37.1,37.8,,34.2,High Risk
MSME100037,Micro,Services,2.6,0,0,1,9.6,7.29,30500.0,5.0,0,,,,,1,10200.0,96.3,0.02,0.468,74.3,0,,,,,0,25.0,,33.5,,29.2,High Risk
