enterprise_id,period,upi_monthly_txn_count,upi_avg_inflow_inr,aa_trade_payable_days,aa_cash_flow_ratio,default_flag
MSME100000,T-90,59.31,182947.17,,,0
MSME100000,T-60,65.75,192601.68,,,0
MSME100000,T-30,68.06,190433.21,,,0
MSME100001,T-90,13.18,34183.24,58.05,0.82,0
MSME100001,T-60,13.39,36914.66,56.56,0.85,0
MSME100001,T-30,13.57,38409.44,55.95,0.88,0
MSME100002,T-90,102.17,192715.33,,,0
MSME100002,T-60,95.66,186313.94,,,0
MSME100002,T-30,100.14,197871.09,,,0
MSME100003,T-90,66.45,137013.48,,,0
MSME100003,T-60,62.54,137145.32,,,0
MSME100003,T-30,62.86,138895.06,,,0
MSME100004,T-90,16.14,19684.83,61.93,0.55,0
MSME100004,T-60,16.27,18518.18,63.64,0.57,0
MSME100004,T-30,16.58,19538.18,57.09,0.53,0
MSME100005,T-90,931.15,1664841.38,39.48,0.91,1
MSME100005,T-60,873.1,1628816.83,37.35,0.91,1
MSME100005,T-30,840.49,1623851.97,41.86,0.88,1
MSME100006,T-90,52.22,160724.9,,,0
MSME100006,T-60,53.35,164887.54,,,0
MSME100006,T-30,56.8,166622.19,,,0
MSME100007,T-90,11.66,37985.27,39.81,0.92,0
MSME100007,T-60,12.23,37359.5,43.23,0.96,0
MSME100007,T-30,11.64,39619.98,42.99,0.96,0
MSME100008,T-90,3.88,18531.95,89.57,0.44,0
MSME100008,T-60,4.14,19108.91,94.77,0.41,0
MSME100008,T-30,3.99,18575.5,86.31,0.42,0
MSME100009,T-90,14.13,33279.51,79.08,0.28,0
MSME100009,T-60,14.5,30356.33,65.95,0.26,0
MSME100009,T-30,14.3,30510.24,73.47,0.26,0
MSME100010,T-90,6.65,18238.19,,,0
MSME100010,T-60,7.3,20766.35,,,0
MSME100010,T-30,7.66,21018.55,,,0
MSME100011,T-90,,,39.28,1.93,0
MSME100011,T-60,,,35.25,1.95,0
MSME100011,T-30,,,33.74,2.06,0
MSME100012,T-90,91.73,137130.71,,,0
MSME100012,T-60,90.9,144893.13,,,0
MSME100012,T-30,100.62,144519.04,,,0
MSME100013,T-90,9.88,31745.25,57.4,0.93,0
MSME100013,T-60,10.56,29382.88,51.06,0.96,0
MSME100013,T-30,11.6,31174.88,52.43,0.98,0
MSME100014,T-90,10.87,27694.32,68.63,0.6,0
MSME100014,T-60,12.02,27626.63,69.63,0.57,0
MSME100014,T-30,12.08,26432.2,61.75,0.61,0
MSME100015,T-90,6.9,15099.46,,,0
MSME100015,T-60,7.52,16099.43,,,0
MSME100015,T-30,7.91,16133.91,,,0
MSME100016,T-90,14.51,37334.65,71.2,0.94,0
MSME100016,T-60,16.69,35274.29,69.0,0.85,0
MSME100016,T-30,16.34,36306.5,73.81,0.88,0
MSME100017,T-90,9.84,25281.05,,,0
MSME100017,T-60,10.39,24267.41,,,0
MSME100017,T-30,10.37,28220.59,,,0
MSME100018,T-90,18.33,41775.45,,,0
MSME100018,T-60,19.03,46792.51,,,0
MSME100018,T-30,18.12,44733.13,,,0
MSME100019,T-90,26.85,92906.37,,,0
MSME100019,T-60,29.25,93874.65,,,0
MSME100019,T-30,30.52,93967.97,,,0
MSME100020,T-90,,,,,0
MSME100020,T-60,,,,,0
MSME100020,T-30,,,,,0
MSME100021,T-90,5.42,18748.47,,,0
MSME100021,T-60,5.49,18262.29,,,0
MSME100021,T-30,5.37,17864.61,,,0
MSME100022,T-90,894.21,2042360.87,40.52,1.83,0
MSME100022,T-60,916.35,1977218.97,43.29,1.83,0
MSME100022,T-30,942.9,1952636.99,48.29,1.67,0
MSME100023,T-90,,,56.74,1.27,0
MSME100023,T-60,,,65.63,1.19,0
MSME100023,T-30,,,61.22,1.22,0
MSME100024,T-90,14.24,24379.87,70.52,0.55,0
MSME100024,T-60,14.79,23850.02,67.54,0.55,0
MSME100024,T-30,14.14,23422.6,66.27,0.56,0
MSME100025,T-90,4.82,22771.81,,,1
MSME100025,T-60,4.76,23582.2,,,1
MSME100025,T-30,4.53,19722.66,,,1
MSME100026,T-90,7.5,26263.97,,,0
MSME100026,T-60,8.28,26041.71,,,0
MSME100026,T-30,8.64,29154.41,,,0
MSME100027,T-90,2.93,19456.18,,,1
MSME100027,T-60,2.93,18675.16,,,1
MSME100027,T-30,2.83,18672.78,,,1
MSME100028,T-90,10.34,37033.12,,,0
MSME100028,T-60,11.45,34541.03,,,0
MSME100028,T-30,12.74,31811.56,,,0
MSME100029,T-90,92.43,195132.84,,,0
MSME100029,T-60,86.85,177285.22,,,0
MSME100029,T-30,90.53,193967.45,,,0
MSME100030,T-90,88.36,300878.35,60.89,1.27,0
MSME100030,T-60,90.04,286263.68,62.61,1.31,0
MSME100030,T-30,95.02,290651.82,63.01,1.3,0
MSME100031,T-90,292.95,901460.81,75.53,1.22,0
MSME100031,T-60,308.84,988645.18,78.73,1.22,0
MSME100031,T-30,311.38,972173.95,71.74,1.19,0
MSME100032,T-90,5.06,18459.2,,,1
MSME100032,T-60,4.98,17795.53,,,1
MSME100032,T-30,5.06,16316.56,,,1
MSME100033,T-90,19.22,39790.18,,,0
MSME100033,T-60,19.62,44371.47,,,0
MSME100033,T-30,21.08,42469.89,,,0
MSME100034,T-90,5.0,12656.95,,,0
MSME100034,T-60,4.85,11720.78,,,0
MSME100034,T-30,4.64,11973.08,,,0
MSME100035,T-90,12.62,28085.26,,,0
MSME100035,T-60,12.5,27639.28,,,0
MSME100035,T-30,12.38,28915.79,,,0
MSME100036,T-90,7.55,26736.46,92.16,0.02,0
MSME100036,T-60,7.41,26927.36,83.95,0.02,0
MSME100036,T-30,7.68,26550.11,86.13,0.02,0
MSME100037,T-90,,,100.8,0.02,0
MSME100037,T-60,,,92.48,0.02,0
MSME100037,T-30,,,85.0,0.02,0
MSME100038,T-90,6.89,17439.38,,,0
MSME100038,T-60,6.98,15887.0,,,0
MSME100038,T-30,6.87,15572.16,,,0
MSME100039,T-90,,,59.41,0.47,0
MSME100039,T-60,,,53.62,0.47,0
MSME100039,T-30,,,57.1,0.44,0
MSME100040,T-90,10.85,11640.22,,,0
MSME100040,T-60,11.55,11661.77,,,0
MSME100040,T-30,12.59,11936.59,,,0
MSME100041,T-90,,,,,0
MSME100041,T-60,,,,,0
MSME100041,T-30,,,,,0
MSME100042,T-90,,,89.53,0.5,0
MSME100042,T-60,,,89.07,0.54,0
MSME100042,T-30,,,91.8,0.54,0
MSME100043,T-90,8.16,29142.02,78.01,1.45,0
