enterprise_id,gst_score,upi_score,aa_score,epfo_score,overall_score,risk_tier,confidence,actual_default
MSME100000,56.5,72.4,,,63.1,B - Moderate,2/4,0
MSME100001,77.1,87.6,73.2,,78.7,A - Strong,3/4,0
MSME100002,69.3,75.1,,,71.7,B - Moderate,2/4,0
MSME100003,41.4,60.5,,,49.4,C - Weak,2/4,0
MSME100004,,55.6,58.6,,57.2,B - Moderate,2/4,0
MSME100005,84.3,77.0,88.0,91.6,84.3,A - Strong,4/4,1
MSME100006,77.8,77.5,,47.7,73.4,B - Moderate,3/4,0
MSME100007,,63.2,74.7,85.3,71.9,B - Moderate,3/4,0
MSME100008,42.2,42.5,45.6,,43.4,C - Weak,3/4,0
MSME100009,,66.5,49.5,,57.2,B - Moderate,2/4,0
MSME100010,57.3,44.9,,,52.1,C - Weak,2/4,0
MSME100011,84.4,,92.3,,88.0,A - Strong,2/4,0
MSME100012,68.6,68.9,,,68.7,B - Moderate,2/4,0
MSME100013,,68.8,74.5,75.0,72.4,B - Moderate,3/4,0
MSME100014,,62.4,68.9,,65.9,B - Moderate,2/4,0
MSME100015,47.4,51.6,,,49.2,C - Weak,2/4,0
MSME100016,,59.2,59.8,52.4,58.4,B - Moderate,3/4,0
MSME100017,,43.1,,,43.1,C - Weak,1/4,0
MSME100018,,87.3,,89.0,87.8,A - Strong,2/4,0
MSME100019,40.4,51.7,,,45.1,C - Weak,2/4,0
MSME100020,51.7,,,,51.7,C - Weak,1/4,0
MSME100021,48.2,42.1,,,45.7,C - Weak,2/4,0
MSME100022,90.0,92.6,85.0,92.2,89.4,A - Strong,4/4,0
MSME100023,73.0,,83.5,,77.8,A - Strong,2/4,0
MSME100024,,70.3,66.7,,68.3,B - Moderate,2/4,0
MSME100025,,23.4,,21.3,22.8,D - High Risk,2/4,1
MSME100026,,45.1,,,45.1,C - Weak,1/4,0
MSME100027,,31.1,,,31.1,D - High Risk,1/4,1
MSME100028,90.2,92.1,,,91.0,A - Strong,2/4,0
MSME100029,89.0,89.3,,88.9,89.1,A - Strong,3/4,0
MSME100030,88.8,84.8,83.6,79.0,85.3,A - Strong,4/4,0
MSME100031,76.8,72.1,72.1,,73.9,B - Moderate,3/4,0
MSME100032,,22.2,,,22.2,D - High Risk,1/4,1
MSME100033,,81.2,,,81.2,A - Strong,1/4,0
MSME100034,36.1,26.6,,,32.1,D - High Risk,2/4,0
MSME100035,62.6,76.2,,,68.3,B - Moderate,2/4,0
MSME100036,46.9,51.1,38.7,,45.3,C - Weak,3/4,0
MSME100037,31.5,,27.7,,29.7,D - High Risk,2/4,0
MSME100038,38.5,31.2,,36.1,35.6,C - Weak,3/4,0
MSME100039,,,53.1,,53.1,C - Weak,1/4,0
MSME100040,29.5,45.0,,,36.0,C - Weak,2/4,0
MSME100041,79.4,,,,79.4,A - Strong,1/4,0
MSME100042,59.8,,49.7,57.0,55.4,B - Moderate,3/4,0
MSME100043,60.5,66.1,69.8,,65.2,B - Moderate,3/4,0
MSME100044,62.2,,81.7,,71.2,B - Moderate,2/4,0
MSME100045,91.5,92.2,,,91.8,A - Strong,2/4,0
MSME100046,88.3,86.2,81.8,,85.6,A - Strong,3/4,0
MSME100047,,55.4,63.2,,59.7,B - Moderate,2/4,0
MSME100048,74.6,74.7,83.6,90.3,78.9,A - Strong,4/4,0
MSME100049,64.6,64.7,64.9,,64.7,B - Moderate,3/4,0
MSME100050,,58.2,43.5,,50.2,C - Weak,2/4,0
MSME100051,,61.5,,,61.5,B - Moderate,1/4,0
MSME100052,91.3,86.7,92.1,93.3,90.6,A - Strong,4/4,0
MSME100053,71.4,70.1,68.4,,70.0,B - Moderate,3/4,0
MSME100054,77.6,70.6,81.1,,76.8,A - Strong,3/4,0
MSME100055,42.5,,66.1,42.1,51.9,C - Weak,3/4,0
MSME100056,,80.3,71.2,,75.3,A - Strong,2/4,0
MSME100057,83.5,84.4,87.3,,85.0,A - Strong,3/4,0
MSME100058,,22.8,18.3,,20.3,D - High Risk,2/4,0
MSME100059,37.2,30.7,,45.4,36.1,C - Weak,3/4,1
MSME100060,69.6,78.5,74.1,68.7,73.1,B - Moderate,4/4,0
MSME100061,87.4,90.4,,,88.7,A - Strong,2/4,0
MSME100062,40.7,39.2,36.8,,39.0,C - Weak,3/4,0
MSME100063,76.7,70.0,68.9,75.0,72.5,B - Moderate,4/4,1
MSME100064,39.3,43.7,,,41.1,C - Weak,2/4,1
MSME100065,28.3,34.6,,22.7,29.8,D - High Risk,3/4,1
MSME100066,65.1,81.5,,,71.9,B - Moderate,2/4,0
MSME100067,26.2,43.7,,,33.5,D - High Risk,2/4,0
MSME100068,71.3,63.1,78.8,,71.5,B - Moderate,3/4,0
MSME100069,,57.2,64.4,,61.1,B - Moderate,2/4,0
MSME100070,45.7,45.0,53.1,,48.0,C - Weak,3/4,0
MSME100071,60.5,53.8,75.4,87.5,66.0,B - Moderate,4/4,0
MSME100072,42.2,,63.7,63.1,53.6,C - Weak,3/4,0
MSME100073,72.3,84.7,85.4,,80.1,A - Strong,3/4,0
MSME100074,,,47.4,38.1,45.1,C - Weak,2/4,0
MSME100075,49.0,52.2,43.8,,48.2,C - Weak,3/4,0
MSME100076,,44.5,40.2,39.4,41.7,C - Weak,3/4,0
MSME100077,23.5,,22.7,21.6,22.9,D - High Risk,3/4,1
MSME100078,,41.9,,31.5,38.9,C - Weak,2/4,0
MSME100079,82.9,86.3,,,84.3,A - Strong,2/4,0
MSME100080,66.1,57.4,46.9,,57.3,B - Moderate,3/4,0
MSME100081,46.9,57.0,,,51.1,C - Weak,2/4,0
MSME100082,77.2,77.6,,,77.4,A - Strong,2/4,0
